anime,season,year,category,songname,artist,link,status
Ansatsu Kyoushitsu (Assassination Classroom),Winter 2015,2015,Opening Theme,Jiriki Hongan Revolution (自力本願レボリューション),"3-nen E-gumi Utatan (3年E組うた担) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Ryota Osaka, Shintaro Asanuma]",https://open.spotify.com/track/2jgVyvvBfdf6LC1EUSYDDM,
Ansatsu Kyoushitsu (Assassination Classroom),Winter 2015,2015,Ending Theme,"Hello, shooting-star",moumoon,https://open.spotify.com/track/2Vv7OUb0VgufsPc53l8xZs,
Ansatsu Kyoushitsu 2nd Season,Winter 2016,2016,Opening Theme,QUESTION,"3-nen E-gumi Utatan (3年E組うた担) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Ryota Osaka, Shintaro Asanuma]",https://open.spotify.com/track/4MorYttxU39XKVoRlCopyz,
Ansatsu Kyoushitsu 2nd Season,Winter 2016,2016,Opening Theme,Bye Bye Yesterday (バイバイ YESTERDAY),"3-nen E-gumi Utatan (3年E組うた担) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Ryota Osaka, Shintaro Asanuma]",https://open.spotify.com/track/66lF1QWtLZXJofJ3x388RV,
Ansatsu Kyoushitsu 2nd Season,Winter 2016,2016,Ending Theme,Kaketa Tsuki (欠けた月),Shion Miyawaki,https://open.spotify.com/track/3rDEsykwMMiQ8c2ZSA9lso,
Ansatsu Kyoushitsu 2nd Season,Winter 2016,2016,Ending Theme,Mata Kimi ni Aeru Hi (また君に会える日),Shion Miyawaki,https://open.spotify.com/track/6RDiHPPTbQJamUI9gyb6iV,
Ansatsu Kyoushitsu: 365-nichi no Jikan,,1900,Ending Theme,Shigyou no Bell (始業のベル),Shion Miyawaki,https://open.spotify.com/track/2OH8bGH8AUeG7AgTssOwJr,
Appare-Ranman!,Spring 2020,2020,Opening Theme,I got it!,Mia REGINA,https://open.spotify.com/track/1TEwhell7ifaxT6VVw5B4E,
Appare-Ranman!,Spring 2020,2020,Ending Theme,I'm Nobody,Shoutarou Morikubo,https://open.spotify.com/track/3dQYAOUMRaNcgC0siAa77f,
Araburu Kisetsu no Otome-domo yo. (O Maidens in Your Savage Season),Summer 2019,2019,Opening Theme,Otome-domo yo. (⼄⼥どもよ。),CHiCO with HoneyWorks,https://open.spotify.com/track/2ZZx0Pss7zgl9XRIMax5IL,
Araburu Kisetsu no Otome-domo yo. (O Maidens in Your Savage Season),Summer 2019,2019,Ending Theme,Yume Cinderella (ユメシンデレラ),Momo Asakura,https://open.spotify.com/track/7uxz6JDggju66d7u5hmzoU,
Aragne no Mushikago (Aragne: Sign of Vermillion),,1900,Ending Theme,Sono Uso ni Chikai (その嘘に近い),Memai SIREN (眩暈SIREN),https://open.spotify.com/track/1NNPD9okcTQ83jotMmw0qo,
Arifureta Shokugyou de Sekai Saikyou,Summer 2019,2019,Opening Theme,FLARE,Void_Chords feat.LIO,https://open.spotify.com/track/18dWBsEdWdGA1MRPN95H1X,
Arifureta Shokugyou de Sekai Saikyou,Summer 2019,2019,Ending Theme,Hajime no Uta (ハジメノウタ),DracoVirgo,https://open.spotify.com/track/2XPDRmjaXTvQ2KrZtLLwEU,
Arknights: Reimei Zensou (Arknights Animation: Prelude to Dawn),Fall 2022,2022,Opening Theme,Alive,ReoNa,https://open.spotify.com/track/4HkMETY0zKUblZVAX22YUD,
Arknights: Reimei Zensou (Arknights Animation: Prelude to Dawn),Fall 2022,2022,Ending Theme,BE ME,Doul,https://open.spotify.com/track/6YXgarWY2jY2f1F7VVUE0Z,
