,anime,season,year,category,songname,artist,link,status
1615,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Fall 2015,2015,Ending Theme,Dear answer,TRUE,https://open.spotify.com/track/7zezTsQHgKCuoxkoGVwduG,Downloaded
1616,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Fall 2015,2015,Ending Theme,Uchiyoserareta Boukyaku no Zankyou ni (打ち寄せられた忘却の残響に),TECHNOBOYS PULCRAFT GREEN-FUND ,https://open.spotify.com/track/2nu2uF4ANSzVaS90fn0GFE,Downloaded
1617,Sankarea (Sankarea_ Undying Love),Spring 2012,2012,Opening Theme,Esoragoto (絵空事),nano_RIPE,https://open.spotify.com/track/5xce8X3MAY30L67RtrmoTG,Downloaded
1618,Sankarea (Sankarea_ Undying Love),Spring 2012,2012,Ending Theme,Above your hand,Annabel,https://www.youtube.com/watch?v=WKU9vSTs2M4,
1619,Sankarea OVA,,1900,Opening Theme,Esoragoto (絵空事),nano_RIPE,https://open.spotify.com/track/5xce8X3MAY30L67RtrmoTG,Downloaded
1620,Sankarea OVA,,1900,Ending Theme,Above your hand,Annabel,https://www.youtube.com/watch?v=WKU9vSTs2M4,
1621,Sankarea_ Wagahai mo... Zombie de Aru,,1900,Opening Theme,Esoragoto (絵空事),nano_RIPE,https://open.spotify.com/track/5xce8X3MAY30L67RtrmoTG,Downloaded
1622,Sankarea_ Wagahai mo... Zombie de Aru,,1900,Ending Theme,Above your hand,Annabel,https://www.youtube.com/watch?v=WKU9vSTs2M4,
1623,Satsuriku no Tenshi (Angels of Death),Summer 2018,2018,Opening Theme,Vital,Masaaki Endoh,https://open.spotify.com/track/74IJMPBHA27f9Zsko2fOpe,Downloaded
1624,Satsuriku no Tenshi (Angels of Death),Summer 2018,2018,Ending Theme,Pray,Rachel,https://www.youtube.com/watch?v=tvu8cFQheFQ,
