AnimeTitle,ID,Status
Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥,10298,Completed
Kaichou wa Maid-sama!: Omake dayo!,9366,Completed
Kaifuku Jutsushi no Yarinaoshi,40750,Completed
Kaizoku Oujo,42544,Completed
Kakegurui,34933,Completed
Kakegurui Picture Drama,38939,Completed
Kakegurui××,37086,Completed
Kakushigoto,40716,Completed
Kami no Tou,40221,Completed
Kami-tachi ni Hirowareta Otoko,41312,Completed
Kamisama ni Natta Hi,41930,Completed
Kamisama no Inai Nichiyoubi,16009,Plan to Watch
Kanashimi no Belladonna,3220,Plan to Watch
Kanata no Astra,39198,Completed
Kandagawa Jet Girls,40196,Dropped
Kannagi,3958,Plan to Watch
Kanojo mo Kanojo,43969,Completed
Kanojo to Kanojo no Neko: Everything Flows,32491,Plan to Watch
"Kanojo, Okarishimasu",40839,Completed
Karakai Jouzu no Takagi-san,35860,Completed
Karakai Jouzu no Takagi-san 2,38993,Completed
Karakai Jouzu no Takagi-san: Water Slide,37621,Completed
Karakuri Circus,37447,Completed
Katsute Kami Datta Kemono-tachi e,39199,Completed
Kawaii dake ja Nai Shikimori-san,45613,On-Hold
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,39326,Completed
Kawaki wo Ameku,39112,Completed
Kaze ga Tsuyoku Fuiteiru,37965,Completed
Keifuku-san,36156,Completed
Keijo!!!!!!!!,32686,Plan to Watch
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,39567,Completed
Kemono Jihen,40908,Completed
Kemono no Souja Erin,5420,Plan to Watch
Kemurikusa (TV),37302,Dropped
Kenja no Mago,36407,Completed
Kidou Senshi Gundam: Suisei no Majo,49828,Watching
Kikumana,4460,Completed
Kill la Kill,18679,Completed
Kill la Kill Specials,21659,Completed
Kimetsu no Yaiba,38000,Completed
Kimi dake ni Motetainda.,40335,Completed
Kimi ni Todoke,6045,Completed
Kimi ni Todoke 2nd Season,9656,Completed
Kimi ni Todoke 2nd Season: Kataomoi,10152,Completed
Kimi ni Todoke 2nd Season: Minitodo Gekijou,10536,Completed
Kimi no Hikari: Asagao to Kase-san.,35159,Completed
Kimi no Koe wo Todoketai,33218,Completed
Kimi no Matsu Mirai (Basho) e,38678,Completed
Kimi no Na wa.,32281,Completed
Kimi no Suizou wo Tabetai,36098,Completed
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",40595,Completed
"Kimi to, Nami ni Noretara",38594,Completed
King's Raid: Ishi wo Tsugumono-tachi,41834,Completed
Kiseijuu: Sei no Kakuritsu,22535,Completed
Kishuku Gakkou no Juliet,37475,Completed
Kiss x Sis,5042,Completed
Kiss x Sis (TV),7593,Completed
Kitsutsuki Tanteidokoro,39582,Completed
Kiznaiver,31798,Completed
Kobayashi-san Chi no Maid Dragon,33206,Completed
Kobayashi-san Chi no Maid Dragon S,39247,Completed
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",35363,Completed
Kobayashi-san Chi no OO Dragon,35145,Completed
